0.95752,0.95996,0.95898,0.97168,0.95947,0.94775,0.98438,0.93506,0.90869,0.99414,1.0034,0.9834,0.93994,0.90967,0.87695,1.0298,1.019,0.9043,0.81738,0.98682,0.97607,0.9585,0.95215,0.98389,0.94336,0.94775,0.97363,0.93994,0.9624,0.97754,0.97021,0.95996,0.9751,0.94629,0.94043,0.94922,0.97363,0.96631,0.95996,0.97461,0.9668,0.93652,0.95312,0.96729,0.9541
-0.23975,-0.23389,-0.23926,-0.229,-0.22998,-0.2417,-0.25488,-0.24121,-0.23193,-0.28271,-0.25244,-0.22363,-0.24023,-0.25098,-0.29346,-0.26318,-0.33398,-0.31006,-0.33008,-0.24951,-0.2334,-0.21924,-0.25439,-0.26074,-0.25537,-0.25977,-0.23438,-0.23682,-0.25195,-0.22754,-0.18555,-0.21387,-0.22607,-0.23877,-0.25049,-0.25146,-0.22705,-0.22607,-0.22559,-0.23438,-0.24072,-0.23438,-0.24121,-0.2207,-0.24854
0.1123,0.10156,0.1084,0.10645,0.10742,0.10156,0.11719,0.058594,0.15771,0.14746,0.069336,0.087891,0.15283,0.15186,0.1416,0.11035,0.13818,0.19092,0.18799,0.12744,0.092285,0.12842,0.15332,0.16553,0.12988,0.10254,0.10889,0.070801,0.14404,0.10986,0.069336,0.096191,0.13721,0.1084,0.12598,0.11377,0.11719,0.12793,0.12939,0.12891,0.10889,0.10693,0.14355,0.104,0.11621
0.91895,0.92188,0.92578,0.91602,0.92578,0.9248,1.0161,1.2544,1.2544,0.56738,-0.13965,-0.22656,-0.26758,-0.271,-0.271,-0.45312,-0.45312,-1.1025,-0.78662,-0.63281,-0.2998,-0.44873,-0.5918,-0.69385,-0.35205,0.080078,0.74658,1.2729,0.86816,1.0718,1.0439,1.001,0.91943,0.93652,0.93457,0.93164,0.93457,0.9082,0.89697,0.92334,0.94238,0.95459,0.87695,0.84863,0.89111
0.2998,0.28174,0.26514,0.29297,0.28027,0.29492,0.3418,0.62891,0.62891,1.2222,1.0444,0.81982,0.70068,0.39111,0.39111,0.1167,0.1167,-0.0078125,0.11572,0.75781,-0.031738,0.30713,0.65918,0.98584,1.1133,1.0874,1.4736,0.32568,0.82422,0.24463,0.2998,0.28271,0.22412,0.24609,0.27783,0.27002,0.29932,0.28857,0.30859,0.26904,0.28809,0.35645,0.32959,0.30664,0.271
0.15332,0.16406,0.17334,0.16064,0.1709,0.1582,0.10938,0.19824,0.19824,0.74463,0.68555,0.5415,0.47363,0.28125,0.28125,-0.77246,-0.77246,-0.029297,-0.54346,-0.38818,-0.26562,0.1333,0.37109,0.32959,0.41016,0.48389,0.41895,0.34668,0.12939,0.099609,0.031738,0.14697,0.17822,0.14648,0.14014,0.14893,0.13379,0.13916,0.15869,0.083008,0.11865,0.11719,0.21484,0.21143,0.2041
0,-1,-2,-1,-2,-1,-1,-1,-1,-1,0,-1,-2,0,-3,0,-1,-2,-1,0,-1,-1,-2,-1,-2,0,-1,0,-1,0,3,0,-1,-3,-1,-1,-4,-1,0,-1,0,1,-3,0,-2
-1,-2,-2,-1,-1,-1,-3,-2,-2,-1,1,0,-2,0,0,-2,-2,0,0,0,-2,0,-1,-1,-2,0,-1,-1,1,-1,1,-2,-1,-2,-2,-1,1,0,-1,-2,-1,-3,1,-1,-1
-2,-1,0,0,-3,-1,1,-1,-2,-2,-3,-1,0,-2,-1,-1,-1,-2,0,0,-1,-1,-2,-3,0,-2,-1,-3,0,-2,-3,0,-2,0,0,-1,-1,-2,-2,-1,0,-1,-1,-3,2
0,-1,-2,-1,0,-2,0,-1,-1,-2,0,0,-2,-3,0,0,-1,0,-2,-1,0,-1,0,0,-2,-3,-1,0,0,-1,-2,-2,-2,-2,-3,-2,-2,1,0,0,-2,-1,-3,-1,-2
-1,0,0,-1,-1,-3,-1,1,-1,-1,-1,0,-2,-2,0,1,-1,0,-2,1,-2,-2,-2,-3,0,-1,-1,0,-1,-1,-2,1,-1,0,0,-3,1,-2,0,1,-2,-1,-1,1,-1
-2,-3,0,0,1,0,-2,-3,-2,-1,-3,-1,0,-2,-5,-3,-2,-1,-2,2,2,-1,-1,0,-1,-2,-2,0,0,-2,1,-1,-2,-2,-3,-3,-4,-1,1,-1,1,-1,-3,3,-1
